词典条目: 7343
源表已收: 350（跳过 146）
新候选（4字+）: 194
新候选（3字）: 0

============================================================
=== 4字及以上新候选（194 条）===
============================================================
[064] 寝不安席  | ctx: ...侵，邦内骚动，士卒暴露於境，君寝不安席，食不甘味，百姓之命皆悬於君，...
[073] 寸有所长  | ctx: ... 太史公曰：鄙语云“尺有所短，寸有所长”。 白起料敌合变，出奇无穷，...
[062] 将顺其美  | ctx: ...而不勉之至王，乃称霸哉？语曰“将顺其美，匡救其恶，故上下能哙亲也“。...
[073] 尺有所短，寸有所长  | ctx: ... [15] 太史公曰：鄙语云“尺有所短，寸有所长”。 白起料敌合变，出奇无穷，...
[068] 居官守法  | ctx: ...於故俗，学者溺於所闻。以此两者居官守法可也，非所与论於法之外也。三代...
[126] 履舄交错  | ctx: ...日暮酒阑，合尊促坐，男女同席，履舄交错，杯盘狼藉，堂上烛灭，主人留髡...
[117] 崇论闳议  | ctx: ...循诵习传，当世取说云尔哉！必将崇论闳议，创业垂统，为万世规。故驰骛乎...
[089] 左提右挈  | ctx: ...立。夫以一赵尚易燕，况以两贤王左提右挈，而责杀王之罪，灭燕易矣。” ...
[068] 延年益寿  | ctx: ...者亡。” 君之危若朝露，尚将欲延年益寿乎？则何不归十五都，灌园於鄙，...
[117] 延颈举踵  | ctx: ...西僰之长，常效贡职，不敢怠堕，延颈举踵，喁喁然皆争归义，欲为臣妾，道...
[118] 引领而望  | ctx: ...，政苛刑峻，天下熬然若焦，民皆引领而望，倾耳而听，悲号仰天，叩心而怨...
[076] 弹丸之地  | ctx: ...所至乎？诚知秦力之所不能进，此弹丸之地弗予，令秦来年复攻王，王得无割...
[065] 形格势禁  | ctx: ...控卷，救斗者不搏撠，批亢捣虚，形格势禁，则自为解耳。今梁赵相攻，轻兵...
[122] 微文深诋  | ctx: ...。使治主父偃及治淮南反狱，所以微文深诋，杀者甚众，称为敢决疑。数废数...
[055] 忠言逆耳  | ctx: ...其乐，此所谓‘助桀为虐’。且‘忠言逆耳利於行，毒药苦口利於病’，原沛...
[044] 忿然作色  | ctx: ...克曰：“魏成子为相矣。” 翟璜忿然作色曰：“以耳目之所睹记，臣何负於...
[084] 怀瑾握瑜  | ctx: ...皆醉，何不餔其糟而啜其醨？何故怀瑾握瑜而自令见放为？” 屈原曰：“吾...
[066] 悔之无及  | ctx: ...。原王释齐而先越；若不然，後将悔之无及。” 而吴王不听，使子胥於齐。...
[092] 情见势屈  | ctx: ...燕坚城之下，欲战恐久力不能拔，情见势屈，旷日粮竭，而弱燕不服，齐必距...
