词	出现次数	实体类型
乞食	6	
实欲	6	
良臣	6	
倍盟	6	
兵追	6	
力政	6	
西帝	6	
逐客	6	
王患	6	
东收	6	
平地	6	
残贼	6	
内外	6	
臣相	6	官职$
求仙	6	
祷祠	6	
宇内	6	
险阻	6	
决事	6	
珍怪	6	
牺牲	6	
积功	6	
振恐	6	
等反	6	
欲易	6	
臣公	6	
奉天	6	
阻险	6	
席卷	6	
乡风	6	
府中	6	
部署	6	
首事	6	
骄色	6	
侯军	6	
婚姻	6	
南乡	6	
臣奉	6	
发难	6	
烧夷	6	族群~
民父	6	
太半	6	
诸吏	6	
诸郡	6	
宜可	6	
积粟	6	
绝河	6	地名=
民众	6	
乏食	6	
独身	6	
渡淮	6	
沐邑	6	
哀怜	6	
候伺	6	
议欲	6	
阿意	6	
庙社	6	
中野	6	地名=
王书	6	
谨奉	6	
相约	6	
罢官	6	
缓急	6	
临天	6	
尝欲	6	
谦让	6	
後常	6	
怪迂	6	
神事	6	
祠神	6	
欲致	6	
祠后	6	
祭后	6	
赞飨	6	
国各	6	
念诸	6	
楚熊	6	
驰说	6	
袒谢	6	
秦虏	6	
昭元	6	
土地	6	
干侯	6	官职$
西羌	6	族群~
权变	6	
相类	6	
度河	6	地名=
楚怀	6	
涉河	6	地名=
列城	6	地名=
北绝	6	
形势	6	
骄奢	6	
祖元	6	
恢元	6	
王吕	6	
寄元	6	
延元	6	
属淮	6	
侯禄	6	
炀侯	6	官职$
悼武	6	
它元	6	
擅发	6	
南宫	6	地名=
内侯	6	官职$
客元	6	
水中	6	
侯章	6	
侯卢	6	
侍太	6	
侯韩	6	
王庭	6	
幕府	6	官职$
吏事	6	
邑王	6	
灭国	6	
名臣	6	
整齐	6	
欲相	6	官职$
名显	6	
财匮	6	
王举	6	
血脉	6	
精神	6	
中央	6	
名士	6	
市井	6	
禨祥	6	
荒落	6	
弋猎	6	
水旱	6	
图籍	6	
兵相	6	官职$
匡天	6	
巫祝	6	
各异	6	
必报	6	
穿渠	6	
民田	6	
欲通	6	
侵盗	6	
奢侈	6	
发车	6	
田畜	6	
王宫	6	地名=
国内	6	
国本	6	
执事	6	
欲亲	6	
臣欲	6	
说公	6	
犹可	6	
报雠	6	
欲释	6	
首谢	6	
外交	6	
欲先	6	
伏兵	6	
名实	6	思想〔〕
可图	6	
尊主	6	
折节	6	
王左	6	
荣名	6	
权利	6	
唯唯	6	
灭氏	6	族群~
疑事	6	
填沟	6	
沟壑	6	
变名	6	
呼哀	6	
惊恐	6	
承间	6	
内臣	6	
饮药	6	
指示	6	
冠谢	6	
杜门	6	
逮捕	6	
孙诡	6	
地图	6	
烈士	6	
天雨	6	
欲就	6	
家累	6	
谀臣	6	
兵休	6	
奉阳	6	
军军	6	
求割	6	
仆妾	6	
张禄	6	
河中	6	
承意	6	
论议	6	
加兵	6	
夷门	6	
圣主	6	
食物	6	
势利	6	
爵列	6	
捕王	6	
相工	6	
结发	6	
臣切	6	
阳明	6	
随畜	6	
书谢	6	
舞文	6	
象天	5	
群神	5	
南巡	5	
践位	5	
穿井	5	
帝功	5	
平水	5	地名=
先祀	5	
田中	5	
面谀	5	
土功	5	
修政	5	
材力	5	
续後	5	
旁国	5	
室屋	5	
心欲	5	
恐诸	5	
脩政	5	
南国	5	
地震	5	
交疏	5	
策论	5	
必可	5	
避难	5	
初县	5	
臣常	5	
地东	5	
开地	5	
室微	5	
侯力	5	
平乱	5	
外事	5	
东地	5	
车裂	5	刑法【】
客游	5	
矫王	5	
他国	5	
王觉	5	
雨雪	5	
等昧	5	
事业	5	
本始	5	
嫌疑	5	
坏城	5	地名=
师旅	5	
相反	5	
诏捕	5	
袭号	5	
相传	5	
呼天	5	
欲罢	5	
中诸	5	
关梁	5	
庸主	5	
要害	5	
馀力	5	
伏尸	5	
馀烈	5	
可同	5	
民罢	5	
王怀	5	
诈力	5	
狱掾	5	
县中	5	
欲举	5	
坚执	5	
执锐	5	
境内	5	
帐中	5	
威震	5	
冠诸	5	
城略	5	
脱身	5	
王地	5	
侯罢	5	
相随	5	
王急	5	
西门	5	
绝粮	5	
兵解	5	
平明	5	
先尝	5	
廷中	5	
中豪	5	
主吏	5	
文吏	5	
恐事	5	
王素	5	
面事	5	
苦兵	5	
掘冢	5	
粮道	5	
变事	5	
歌诗	5	
厕中	5	
面折	5	
尊父	5	
齐民	5	
位次	5	
军北	5	
气力	5	
游猎	5	
夷灭	5	
灭诸	5	
兆民	5	
中外	5	
劳天	5	
盖天	5	
嫁女	5	
宫殿	5	地名=
通关	5	地名=
祖宗	5	
侍祠	5	
祠天	5	
色事	5	
利事	5	
内中	5	
尝游	5	
帷中	5	
供具	5	
天瑞	5	
巡郡	5	
器物	5	
巡祭	5	
诸物	5	
宿地	5	
祝祠	5	
士求	5	
塞决	5	
诸名	5	
羁縻	5	
厘侯	5	官职$
侯恣	5	
和元	5	
侯光	5	
伤王	5	
捷元	5	
公夷	5	族群~
楚兵	5	
王商	5	
专政	5	
坚元	5	
公午	5	
始通	5	
让位	5	
楚率	5	
包胥	5	
越元	5	
王辟	5	
相张	5	
王北	5	
侯魏	5	
劫王	5	
秦灭	5	
王嘉	5	
王负	5	
宗彊	5	
王张	5	
侯地	5	
国邑	5	
意元	5	
王志	5	
平昌	5	
王彭	5	
济东	5	
遗元	5	
根本	5	
侯山	5	地名=
