章节	类型	实体	说明	上下文
087_李斯列传	unknown_bio	花	标注了〖+花〗但不在词表内	制上谓之贼。故秋霜降者〖+草〗〖+花〗落,水摇动者万物作,此必然之效
087_李斯列传	unknown_bio	六骥	标注了〖+六骥〗但不在词表内	"〖#夫人〗生居世间也,譬犹骋〖+六骥〗过决隙也。吾既已临〔天下〕矣,
087_李斯列传	unknown_bio	藜	标注了〖+藜〗但不在词表内	裘,夏日〖*葛衣〗,粢粝之食,〖+藜〗〖+藿〗之羹,饭〖*土匭〗,啜
087_李斯列传	unknown_bio	藿	标注了〖+藿〗但不在词表内	〖*葛衣〗,粢粝之食,〖+藜〗〖+藿〗之羹,饭〖*土匭〗,啜〖*土鉶
087_李斯列传	unknown_bio	狡兔	标注了〖+狡兔〗但不在词表内	犬〗俱出〖=上蔡〗〖=东门〗逐〖+狡兔〗,岂可得乎!"遂〖#父子〗相哭
092_淮阴侯列传	unknown_bio	山河	标注了〖+山河〗但不在词表内	众〗，距〖=巩〗、〖=雒〗，阻〖+山河〗之险，〖%一日〗数战，无尺寸之
092_淮阴侯列传	unknown_bio	兽	标注了〖+兽〗但不在词表内	;句践〗，立功成名而身死亡。野〖+兽〗已尽而猎〖+狗〗亨。夫以交友言
094_田儋列传	unknown_bio	蝮	标注了〖+蝮〗但不在词表内	以市於〖'齐〗。〖'齐〗曰："〖+蝮〗螫手则斩手，螫足则斩足。何者？
099_刘敬叔孙通列传	unknown_bio	樱桃	标注了〖+樱桃〗但不在词表内	曰："古者有〖^春尝果〗，方今〖+樱桃〗孰，可献，原〖#陛下〗出，因取
099_刘敬叔孙通列传	unknown_bio	樱桃	标注了〖+樱桃〗但不在词表内	孰，可献，原〖#陛下〗出，因取〖+樱桃〗献〖^宗庙〗。"上乃许之。诸〖
099_刘敬叔孙通列传	unknown_bio	果	标注了〖+果〗但不在词表内	〗献〖^宗庙〗。"上乃许之。诸〖+果〗献由此兴。↵↵## [8] 太
104_田叔列传	unknown_bio	麋	标注了〖+麋〗但不在词表内	〗民俱出猎，〖@任安〗常为人分〖+麋〗〖+鹿〗〖+雉〗〖+兔〗，部署
104_田叔列传	cross_type	马	同时标为 biology 和 artifact	
105_扁鹊仓公列传	unknown_bio	翟犬	标注了〖+翟犬〗但不在词表内	皆有副。吾见兒在帝侧，帝属我一〖+翟犬〗，曰："及而子之壮也以赐之。"
105_扁鹊仓公列传	unknown_bio	豆	标注了〖+豆〗但不在词表内	病，即饮以消石一齐，出血，血如〖+豆〗比〖%五六〗枚。↵↵### [
105_扁鹊仓公列传	unknown_bio	蛲	标注了〖+蛲〗但不在词表内	。臣〖@意〗饮以芫华一撮，即出〖+蛲〗可〖%数升〗，病已，〖%三十日
105_扁鹊仓公列传	cross_type	马	同时标为 biology 和 artifact	
106_吴王濞列传	unknown_bio	蝗蟲	标注了〖+蝗蟲〗但不在词表内	之意，人事极矣。〖!彗星〗出，〖+蝗蟲〗数起，此〖%万世〗一时，而愁劳
106_吴王濞列传	unknown_bio	山河	标注了〖+山河〗但不在词表内	〖=武库〗，食〖=敖仓〗粟，阻〖+山河〗之险以令〖#诸侯〗，虽毋入关，
108_韩长孺列传	unknown_bio	鸿毛	标注了〖+鸿毛〗但不在词表内	不能穿鲁缟；冲风之末，力不能漂〖+鸿毛〗。非初不劲，末力衰也。击之不便
109_李将军列传	unknown_bio	雕	标注了〖+雕〗但不在词表内	〖@广〗。〖@广〗曰："是必射〖+雕〗者也。"〖@广〗乃遂从〖%百〗
109_李将军列传	unknown_bio	雕	标注了〖+雕〗但不在词表内	生得〖%一〗人，果〖~匈奴〗射〖+雕〗者也。已缚之上〖*马〗，望〖~
109_李将军列传	cross_type	李	同时标为 biology 和 person	
110_匈奴列传	unknown_bio	橐驼	标注了〖+橐驼〗但不在词表内	、〖+牛〗、〖+羊〗，其奇畜则〖+橐驼〗、〖+驴〗、〖+騊駼〗、〖+驒
110_匈奴列传	unknown_bio	騊駼	标注了〖+騊駼〗但不在词表内	其奇畜则〖+橐驼〗、〖+驴〗、〖+騊駼〗、〖+驒騱〗。逐水草迁徙，毋城
110_匈奴列传	unknown_bio	驒騱	标注了〖+驒騱〗但不在词表内	橐驼〗、〖+驴〗、〖+騊駼〗、〖+驒騱〗。逐水草迁徙，毋城郭常处耕田之
110_匈奴列传	unknown_bio	四白狼	标注了〖+四白狼〗但不在词表内	，而〖@穆王〗伐〖~犬戎〗，得〖+四白狼〗〖+四白鹿〗以归。自是之後，〖
110_匈奴列传	unknown_bio	四白鹿	标注了〖+四白鹿〗但不在词表内	〗伐〖~犬戎〗，得〖+四白狼〗〖+四白鹿〗以归。自是之後，〖^荒服〗不至
110_匈奴列传	unknown_bio	兽	标注了〖+兽〗但不在词表内	不悉射者，斩之。"行猎〖+鸟〗〖+兽〗，有不射〖*鸣镝〗所射者，辄斩
110_匈奴列传	unknown_bio	青駹马	标注了〖+青駹马〗但不在词表内	方〗尽〖+白马〗，〖=东方〗尽〖+青駹马〗，〖=北方〗尽〖+乌骊马〗，〖
110_匈奴列传	unknown_bio	乌骊马	标注了〖+乌骊马〗但不在词表内	〗尽〖+青駹马〗，〖=北方〗尽〖+乌骊马〗，〖=南方〗尽〖+骍马〗。〖@
110_匈奴列传	unknown_bio	骍马	标注了〖+骍马〗但不在词表内	〗尽〖+乌骊马〗，〖=南方〗尽〖+骍马〗。〖@高帝〗乃使使间厚遗〖;阏
110_匈奴列传	unknown_bio	橐他	标注了〖+橐他〗但不在词表内	;郎中〗〖@系雩浅〗奉书请，献〖+橐他〗一匹，骑〖+马〗〖%二匹〗，驾
111_卫将军骠骑列传	unknown_bio	留落	标注了〖+留落〗但不在词表内	幸,未尝困绝也。然而诸宿将常坐〖+留落〗不遇。由此〖;骠骑〗日以亲贵,
112_平津侯主父列传	cross_type	马	同时标为 biology 和 artifact	
112_平津侯主父列传	cross_type	燕	同时标为 biology 和 feudal-state	
112_平津侯主父列传	cross_type	牛	同时标为 biology 和 artifact	
